Date,time,Biogas (m3/day)
01/09/2022,1,35616
02/09/2022,2,35616
03/09/2022,3,35616
04/09/2022,4,35616
05/09/2022,5,34728
06/09/2022,6,34728
07/09/2022,7,34728
08/09/2022,8,34728
09/09/2022,9,34728
10/09/2022,10,34728
11/09/2022,11,34728
12/09/2022,12,34008
13/09/2022,13,34008
14/09/2022,14,34008
15/09/2022,15,34008
16/09/2022,16,34008
17/09/2022,17,34008
18/09/2022,18,34008
19/09/2022,19,35136
20/09/2022,20,35136
21/09/2022,21,35136
22/09/2022,22,35136
23/09/2022,23,35136
24/09/2022,24,35136
25/09/2022,25,35136
26/09/2022,26,35712
27/09/2022,27,35712
28/09/2022,28,35712
29/09/2022,29,35712
30/09/2022,30,35712
01/10/2022,31,29448
02/10/2022,32,29448
03/10/2022,33,36096
04/10/2022,34,36096
05/10/2022,35,36096
06/10/2022,36,36096
07/10/2022,37,36096
08/10/2022,38,36096
09/10/2022,39,36096
10/10/2022,40,37344
11/10/2022,41,37344
12/10/2022,42,37344
13/10/2022,43,37344
14/10/2022,44,37344
15/10/2022,45,37344
16/10/2022,46,37344
17/10/2022,47,38832
18/10/2022,48,38832
19/10/2022,49,38832
20/10/2022,50,38832
21/10/2022,51,38832
22/10/2022,52,38832
23/10/2022,53,38832
24/10/2022,54,39120
25/10/2022,55,39120
26/10/2022,56,39120
27/10/2022,57,39120
28/10/2022,58,39120
29/10/2022,59,39120
30/10/2022,60,39120
31/10/2022,61,39120
01/11/2022,62,38328
02/11/2022,63,38328
03/11/2022,64,38328
04/11/2022,65,38328
05/11/2022,66,38328
06/11/2022,67,38328
07/11/2022,68,36216
08/11/2022,69,36216
09/11/2022,70,36216
10/11/2022,71,36216
11/11/2022,72,36216
12/11/2022,73,36216
13/11/2022,74,36216
14/11/2022,75,37608
15/11/2022,76,37608
16/11/2022,77,37608
17/11/2022,78,37608
18/11/2022,79,37608
19/11/2022,80,37608
20/11/2022,81,37608
21/11/2022,82,38160
22/11/2022,83,38160
23/11/2022,84,38160
24/11/2022,85,38160
25/11/2022,86,38160
26/11/2022,87,38160
27/11/2022,88,38160
28/11/2022,89,37440
29/11/2022,90,37440
30/11/2022,91,37440
01/12/2022,92,38424
02/12/2022,93,38424
03/12/2022,94,38424
04/12/2022,95,38424
05/12/2022,96,37506
06/12/2022,97,37506
07/12/2022,98,37506
08/12/2022,99,37506
09/12/2022,100,37506
10/12/2022,101,37506
11/12/2022,102,37506
12/12/2022,103,39408
13/12/2022,104,39408
14/12/2022,105,39408
15/12/2022,106,39408
16/12/2022,107,39408
17/12/2022,108,39408
18/12/2022,109,39408
19/12/2022,110,39168
20/12/2022,111,39168
21/12/2022,112,39168
22/12/2022,113,39168
23/12/2022,114,39168
24/12/2022,115,39168
25/12/2022,116,39168
26/12/2022,117,38472
27/12/2022,118,38472
28/12/2022,119,38472
29/12/2022,120,38472
30/12/2022,121,38472
31/12/2022,122,38472
01/01/2023,123,38904
02/01/2023,124,38904
03/01/2023,125,38904
04/01/2023,126,38904
05/01/2023,127,38904
06/01/2023,128,38904
07/01/2023,129,38904
08/01/2023,130,38904
09/01/2023,131,38784
10/01/2023,132,38784
11/01/2023,133,38784
12/01/2023,134,38784
13/01/2023,135,38784
14/01/2023,136,38784
15/01/2023,137,38784
16/01/2023,138,37272
17/01/2023,139,37272
18/01/2023,140,37272
19/01/2023,141,37272
20/01/2023,142,37272
21/01/2023,143,37272
22/01/2023,144,37272
23/01/2023,145,38592
24/01/2023,146,38592
25/01/2023,147,38592
26/01/2023,148,38592
27/01/2023,149,38592
28/01/2023,150,38592
29/01/2023,151,38592
30/01/2023,152,39456
31/01/2023,153,39456
01/02/2023,154,39240
02/02/2023,155,39240
03/02/2023,156,39240
04/02/2023,157,39240
05/02/2023,158,39240
06/02/2023,159,40584
07/02/2023,160,40584
08/02/2023,161,40584
09/02/2023,162,40584
10/02/2023,163,40584
11/02/2023,164,40584
12/02/2023,165,40584
13/02/2023,166,37704
14/02/2023,167,37704
15/02/2023,168,37704
16/02/2023,169,37704
17/02/2023,170,37704
18/02/2023,171,37704
19/02/2023,172,37704
20/02/2023,173,38016
21/02/2023,174,38016
22/02/2023,175,38016
23/02/2023,176,38016
24/02/2023,177,38016
25/02/2023,178,38016
26/02/2023,179,38016
27/02/2023,180,39216
28/02/2023,181,39216
01/03/2023,182,39192
02/03/2023,183,39192
03/03/2023,184,39192
04/03/2023,185,39192
05/03/2023,186,39192
06/03/2023,187,38712
07/03/2023,188,38712
08/03/2023,189,38712
09/03/2023,190,38712
10/03/2023,191,38712
11/03/2023,192,38712
12/03/2023,193,38712
13/03/2023,194,38088
14/03/2023,195,38088
15/03/2023,196,38088
16/03/2023,197,38088
17/03/2023,198,38088
18/03/2023,199,38088
19/03/2023,200,38088
20/03/2023,201,38256
21/03/2023,202,38256
22/03/2023,203,38256
23/03/2023,204,38256
24/03/2023,205,38256
25/03/2023,206,38256
26/03/2023,207,38256
27/03/2023,208,37920
28/03/2023,209,37920
29/03/2023,210,37920
30/03/2023,211,37920
31/03/2023,212,37920
01/04/2023,213,37920
02/04/2023,214,37920
03/04/2023,215,37392
04/04/2023,216,37392
05/04/2023,217,37392
06/04/2023,218,37392
07/04/2023,219,37392
08/04/2023,220,37392
09/04/2023,221,37392
10/04/2023,222,39240
11/04/2023,223,39240
12/04/2023,224,39240
13/04/2023,225,39240
14/04/2023,226,39240
15/04/2023,227,39240
16/04/2023,228,39240
17/04/2023,229,36360
18/04/2023,230,36360
19/04/2023,231,36360
20/04/2023,232,36360
21/04/2023,233,36360
22/04/2023,234,36360
23/04/2023,235,36360
24/04/2023,236,38328
25/04/2023,237,38328
26/04/2023,238,38328
27/04/2023,239,38328
28/04/2023,240,38328
29/04/2023,241,38328
30/04/2023,242,38328
01/05/2023,243,38232
02/05/2023,244,38232
03/05/2023,245,38232
04/05/2023,246,38232
05/05/2023,247,38232
06/05/2023,248,38232
07/05/2023,249,38232
08/05/2023,250,37128
09/05/2023,251,37128
10/05/2023,252,37128
11/05/2023,253,37128
12/05/2023,254,37128
13/05/2023,255,37128
14/05/2023,256,37128
15/05/2023,257,36144
16/05/2023,258,36144
17/05/2023,259,36144
18/05/2023,260,36144
19/05/2023,261,36144
20/05/2023,262,36144
21/05/2023,263,36144
22/05/2023,264,38112
23/05/2023,265,38112
24/05/2023,266,38112
25/05/2023,267,38112
26/05/2023,268,38112
27/05/2023,269,38112
28/05/2023,270,38112
29/05/2023,271,40224
30/05/2023,272,40224
31/05/2023,273,40224
01/06/2023,274,37176
02/06/2023,275,37176
03/06/2023,276,37176
04/06/2023,277,37176
05/06/2023,278,38232
06/06/2023,279,38232
07/06/2023,280,38232
08/06/2023,281,38232
09/06/2023,282,38232
10/06/2023,283,38232
11/06/2023,284,38232
12/06/2023,285,37464
13/06/2023,286,37464
14/06/2023,287,37464
15/06/2023,288,37464
16/06/2023,289,37464
17/06/2023,290,37464
18/06/2023,291,37464
19/06/2023,292,34776
20/06/2023,293,34776
21/06/2023,294,34776
22/06/2023,295,34776
23/06/2023,296,34776
24/06/2023,297,34776
25/06/2023,298,34776
26/06/2023,299,37032
27/06/2023,300,37032
28/06/2023,301,37032
29/06/2023,302,37032
30/06/2023,303,37032
01/07/2023,304,36456
02/07/2023,305,36456
03/07/2023,306,37104
04/07/2023,307,37104
05/07/2023,308,37104
06/07/2023,309,37104
07/07/2023,310,37104
08/07/2023,311,37104
09/07/2023,312,37104
10/07/2023,313,37656
11/07/2023,314,37656
12/07/2023,315,37656
13/07/2023,316,37656
14/07/2023,317,37656
15/07/2023,318,37656
16/07/2023,319,37656
17/07/2023,320,37896
18/07/2023,321,37896
19/07/2023,322,37896
20/07/2023,323,37896
21/07/2023,324,37896
22/07/2023,325,37896
23/07/2023,326,37896
24/07/2023,327,37632
25/07/2023,328,37632
26/07/2023,329,37632
27/07/2023,330,37632
28/07/2023,331,37632
29/07/2023,332,37632
30/07/2023,333,37632
31/07/2023,334,37632
01/08/2023,335,39024
02/08/2023,336,39024
03/08/2023,337,39024
04/08/2023,338,39024
05/08/2023,339,39024
06/08/2023,340,39024
07/08/2023,341,37632
08/08/2023,342,37632
09/08/2023,343,37632
10/08/2023,344,37632
11/08/2023,345,37632
12/08/2023,346,37632
13/08/2023,347,37632
14/08/2023,348,38472
15/08/2023,349,38472
16/08/2023,350,38472
17/08/2023,351,38472
18/08/2023,352,38472
19/08/2023,353,38472
20/08/2023,354,38472
21/08/2023,355,37728
22/08/2023,356,37728
23/08/2023,357,37728
24/08/2023,358,37728
25/08/2023,359,37728
26/08/2023,360,37728
27/08/2023,361,37728
28/08/2023,362,36360
29/08/2023,363,36360
30/08/2023,364,36360
31/08/2023,365,36360
01/09/2023,366,36360
02/09/2023,367,36360
03/09/2023,368,36360
04/09/2023,369,33192
05/09/2023,370,33192
06/09/2023,371,33192
07/09/2023,372,33192
08/09/2023,373,33192
09/09/2023,374,33192
10/09/2023,375,33192
11/09/2023,376,32496
12/09/2023,377,32496
13/09/2023,378,32496
14/09/2023,379,32496
15/09/2023,380,32496
16/09/2023,381,32496
17/09/2023,382,32496
18/09/2023,383,35424
19/09/2023,384,35424
20/09/2023,385,35424
21/09/2023,386,35424
22/09/2023,387,35424
23/09/2023,388,35424
24/09/2023,389,35424
25/09/2023,390,36888
26/09/2023,391,36888
27/09/2023,392,36888
28/09/2023,393,36888
29/09/2023,394,36888
30/09/2023,395,36888
01/10/2023,396,36888
02/10/2023,397,39024
03/10/2023,398,39024
04/10/2023,399,39024
05/10/2023,400,39024
06/10/2023,401,39024
07/10/2023,402,39024
08/10/2023,403,39024
09/10/2023,404,39024
10/10/2023,405,38064
11/10/2023,406,38064
12/10/2023,407,38064
13/10/2023,408,38064
14/10/2023,409,38064
15/10/2023,410,38064
16/10/2023,411,38064
17/10/2023,412,34992
18/10/2023,413,34992
19/10/2023,414,34992
20/10/2023,415,34992
21/10/2023,416,34992
22/10/2023,417,34992
23/10/2023,418,34992
24/10/2023,419,35880
25/10/2023,420,35880
26/10/2023,421,35880
27/10/2023,422,35880
28/10/2023,423,35880
29/10/2023,424,35880
30/10/2023,425,35880
31/10/2023,426,31608
01/11/2023,427,31608
02/11/2023,428,31608
03/11/2023,429,31608
04/11/2023,430,31608
05/11/2023,431,31608
06/11/2023,432,39264
07/11/2023,433,39264
08/11/2023,434,39264
09/11/2023,435,39264
10/11/2023,436,39264
11/11/2023,437,39264
12/11/2023,438,39264
13/11/2023,439,39360
14/11/2023,440,39360
15/11/2023,441,39360
16/11/2023,442,39360
17/11/2023,443,39360
18/11/2023,444,39360
19/11/2023,445,39360
20/11/2023,446,39888
21/11/2023,447,39888
22/11/2023,448,39888
23/11/2023,449,39888
24/11/2023,450,39888
25/11/2023,451,39888
26/11/2023,452,39888
27/11/2023,453,39720
28/11/2023,454,39720
29/11/2023,455,39720
30/11/2023,456,39720
01/12/2023,457,39720
02/12/2023,458,39720
03/12/2023,459,39720
04/12/2023,460,37560
05/12/2023,461,37560
06/12/2023,462,37560
07/12/2023,463,37560
08/12/2023,464,37560
09/12/2023,465,37560
10/12/2023,466,37560
11/12/2023,467,38208
12/12/2023,468,38208
13/12/2023,469,38208
14/12/2023,470,38208
15/12/2023,471,38208
16/12/2023,472,38208
17/12/2023,473,38208
18/12/2023,474,41064
19/12/2023,475,41064
20/12/2023,476,41064
21/12/2023,477,41064
22/12/2023,478,41064
23/12/2023,479,41064
24/12/2023,480,41064
25/12/2023,481,36600
26/12/2023,482,36600
27/12/2023,483,36600
28/12/2023,484,36600
29/12/2023,485,36600
30/12/2023,486,36600
31/12/2023,487,36600
01/01/2024,488,40464
02/01/2024,489,40464
03/01/2024,490,40464
04/01/2024,491,40464
05/01/2024,492,40464
06/01/2024,493,40464
07/01/2024,494,40464
08/01/2024,495,40512
09/01/2024,496,40512
10/01/2024,497,40512
11/01/2024,498,40512
12/01/2024,499,40512
13/01/2024,500,40512
14/01/2024,501,40512
15/01/2024,502,40464
16/01/2024,503,40464
17/01/2024,504,40464
18/01/2024,505,40464
19/01/2024,506,40464
20/01/2024,507,40464
21/01/2024,508,40464
22/01/2024,509,40488
23/01/2024,510,40488
24/01/2024,511,40488
25/01/2024,512,40488
26/01/2024,513,40488
27/01/2024,514,40488
28/01/2024,515,40488
29/01/2024,516,35856
30/01/2024,517,35856
31/01/2024,518,35856
01/02/2024,519,39744
02/02/2024,520,39744
03/02/2024,521,39744
04/02/2024,522,39744
05/02/2024,523,39312
06/02/2024,524,39312
07/02/2024,525,39312
08/02/2024,526,39312
09/02/2024,527,39312
10/02/2024,528,39312
11/02/2024,529,39312
12/02/2024,530,38208
13/02/2024,531,38208
14/02/2024,532,38208
15/02/2024,533,38208
16/02/2024,534,38208
17/02/2024,535,38208
18/02/2024,536,38208
19/02/2024,537,38496
20/02/2024,538,38496
21/02/2024,539,38496
22/02/2024,540,38496
23/02/2024,541,38496
24/02/2024,542,38496
25/02/2024,543,38496
26/02/2024,544,38592
27/02/2024,545,38592
28/02/2024,546,38592
29/02/2024,547,38592
01/03/2024,548,39096
02/03/2024,549,39096
03/03/2024,550,39096
04/03/2024,551,39216
05/03/2024,552,39216
06/03/2024,553,39216
07/03/2024,554,39216
08/03/2024,555,39216
09/03/2024,556,39216
10/03/2024,557,39216
11/03/2024,558,36720
12/03/2024,559,36720
13/03/2024,560,36720
14/03/2024,561,36720
15/03/2024,562,36720
16/03/2024,563,36720
17/03/2024,564,36720
18/03/2024,565,37824
19/03/2024,566,37824
20/03/2024,567,37824
21/03/2024,568,37824
22/03/2024,569,37824
23/03/2024,570,37824
24/03/2024,571,37824
25/03/2024,572,37848
26/03/2024,573,37848
27/03/2024,574,37848
28/03/2024,575,37848
29/03/2024,576,37848
30/03/2024,577,37848
31/03/2024,578,37848
01/04/2024,579,39000
02/04/2024,580,39000
03/04/2024,581,39000
04/04/2024,582,39000
05/04/2024,583,39000
06/04/2024,584,39000
07/04/2024,585,39000
08/04/2024,586,37872
09/04/2024,587,37872
10/04/2024,588,37872
11/04/2024,589,37872
12/04/2024,590,37872
13/04/2024,591,37872
14/04/2024,592,37872
15/04/2024,593,37176
16/04/2024,594,37176
17/04/2024,595,37176
18/04/2024,596,37176
19/04/2024,597,37176
20/04/2024,598,37176
21/04/2024,599,37176
22/04/2024,600,38688
23/04/2024,601,38688
24/04/2024,602,38688
25/04/2024,603,38688
26/04/2024,604,38688
27/04/2024,605,38688
28/04/2024,606,38688
29/04/2024,607,38424
30/04/2024,608,38424
01/05/2024,609,38496
02/05/2024,610,38496
03/05/2024,611,38496
04/05/2024,612,38496
05/05/2024,613,38496
06/05/2024,614,39000
07/05/2024,615,39000
08/05/2024,616,39000
09/05/2024,617,39000
10/05/2024,618,39000
11/05/2024,619,39000
12/05/2024,620,39000
13/05/2024,621,38904
14/05/2024,622,38904
15/05/2024,623,38904
16/05/2024,624,38904
17/05/2024,625,38904
18/05/2024,626,38904
19/05/2024,627,38904
20/05/2024,628,38784
21/05/2024,629,38784
22/05/2024,630,38784
23/05/2024,631,38784
24/05/2024,632,38784
25/05/2024,633,38784
26/05/2024,634,38784
27/05/2024,635,38712
28/05/2024,636,38712
29/05/2024,637,38712
30/05/2024,638,38712
31/05/2024,639,38712
01/06/2024,640,38112
02/06/2024,641,38112
03/06/2024,642,38376
04/06/2024,643,38376
05/06/2024,644,38376
06/06/2024,645,38376
07/06/2024,646,38376
08/06/2024,647,38376
09/06/2024,648,38376
10/06/2024,649,38232
11/06/2024,650,38232
12/06/2024,651,38232
13/06/2024,652,38232
14/06/2024,653,38232
15/06/2024,654,38232
16/06/2024,655,38232
17/06/2024,656,37656
18/06/2024,657,37656
19/06/2024,658,37656
20/06/2024,659,37656
21/06/2024,660,37656
22/06/2024,661,37656
23/06/2024,662,37656
24/06/2024,663,36864
25/06/2024,664,36864
26/06/2024,665,36864
27/06/2024,666,36864
28/06/2024,667,36864
29/06/2024,668,36864
30/06/2024,669,36864
01/07/2024,670,37800
02/07/2024,671,37800
03/07/2024,672,37800
04/07/2024,673,37800
05/07/2024,674,37800
06/07/2024,675,37800
07/07/2024,676,37800
08/07/2024,677,38640
09/07/2024,678,38640
10/07/2024,679,38640
11/07/2024,680,38640
12/07/2024,681,38640
13/07/2024,682,38640
14/07/2024,683,38640
15/07/2024,684,35520
16/07/2024,685,35520
17/07/2024,686,35520
18/07/2024,687,35520
19/07/2024,688,35520
20/07/2024,689,35520
21/07/2024,690,35520
22/07/2024,691,38184
23/07/2024,692,38184
24/07/2024,693,38184
25/07/2024,694,38184
26/07/2024,695,38184
27/07/2024,696,38184
28/07/2024,697,38184
29/07/2024,698,37992
30/07/2024,699,37992
31/07/2024,700,37992
01/08/2024,701,38664
02/08/2024,702,38664
03/08/2024,703,38664
04/08/2024,704,38664
05/08/2024,705,35760
06/08/2024,706,35760
07/08/2024,707,35760
08/08/2024,708,35760
09/08/2024,709,35760
10/08/2024,710,35760
11/08/2024,711,35760
12/08/2024,712,36504
13/08/2024,713,36504
14/08/2024,714,36504
15/08/2024,715,36504
16/08/2024,716,36504
17/08/2024,717,36504
18/08/2024,718,36504
19/08/2024,719,30264
20/08/2024,720,30264
21/08/2024,721,30264
22/08/2024,722,30264
23/08/2024,723,30264
24/08/2024,724,30264
25/08/2024,725,30264
26/08/2024,726,37200
27/08/2024,727,37200
28/08/2024,728,37200
29/08/2024,729,37200
30/08/2024,730,37200
31/08/2024,731,37200
01/09/2024,732,36840
02/09/2024,733,36840
03/09/2024,734,36840
04/09/2024,735,36840
05/09/2024,736,36840
06/09/2024,737,36840
07/09/2024,738,36840
08/09/2024,739,36840
09/09/2024,740,39000
10/09/2024,741,39000
11/09/2024,742,39000
12/09/2024,743,39000
13/09/2024,744,39000
14/09/2024,745,39000
15/09/2024,746,39000
16/09/2024,747,39240
17/09/2024,748,39240
18/09/2024,749,39240
19/09/2024,750,39240
20/09/2024,751,39240
21/09/2024,752,39240
22/09/2024,753,39240
23/09/2024,754,38808
24/09/2024,755,38808
25/09/2024,756,38808
26/09/2024,757,38808
27/09/2024,758,38808
28/09/2024,759,38808
29/09/2024,760,38808
30/09/2024,761,1630
01/10/2024,762,39312
02/10/2024,763,39312
03/10/2024,764,39312
04/10/2024,765,39312
05/10/2024,766,39312
06/10/2024,767,39312
07/10/2024,768,38784
08/10/2024,769,38784
09/10/2024,770,38784
10/10/2024,771,38784
11/10/2024,772,38784
12/10/2024,773,38784
13/10/2024,774,39624
14/10/2024,775,39624
15/10/2024,776,39624
16/10/2024,777,39624
17/10/2024,778,39624
18/10/2024,779,39624
19/10/2024,780,39624
20/10/2024,781,39624
21/10/2024,782,39791
22/10/2024,783,39791
23/10/2024,784,39791
24/10/2024,785,39791
25/10/2024,786,39791
26/10/2024,787,39791
27/10/2024,788,39791
28/10/2024,789,39840
29/10/2024,790,39840
30/10/2024,791,39840
31/10/2024,792,39840
01/11/2024,793,40776
02/11/2024,794,40776
03/11/2024,795,40776
04/11/2024,796,40536
05/11/2024,797,40536
06/11/2024,798,40536
07/11/2024,799,40536
08/11/2024,800,40536
09/11/2024,801,40536
10/11/2024,802,40536
